sentence,answer
"Susan is married to Steven , Margaret is married to Ethan , and Neil is married to Neil . So Steven is the partner of [MASK] .",Susan
"Gerald is married to Shannon , Murray is married to Sandra , and Douglas is married to Douglas . So Shannon is the partner of [MASK] .",Gerald
"Stacy is married to Rachel , Lara is married to Christine , and Kara is married to Kara . So Rachel is the partner of [MASK] .",Stacy
"Lena is married to Ross , Judith is married to Morgan , and Olivia is married to Olivia . So Ross is the partner of [MASK] .",Lena
"Shirley is married to Dale , Josh is married to Frances , and Jenna is married to Jenna . So Dale is the partner of [MASK] .",Shirley
"Samantha is married to Chloe , Gabriel is married to Angus , and Jon is married to Jon . So Chloe is the partner of [MASK] .",Samantha
"Martin is married to Daisy , Quinn is married to Kerry , and Stephen is married to Stephen . So Daisy is the partner of [MASK] .",Martin
"Emily is married to Courtney , Abby is married to Summer , and Philip is married to Philip . So Courtney is the partner of [MASK] .",Emily
"Harry is married to Ellen , Bradley is married to Oliver , and Ann is married to Ann . So Ellen is the partner of [MASK] .",Harry
"Jill is married to Alexis , Alexandra is married to Daisy , and Leo is married to Leo . So Alexis is the partner of [MASK] .",Jill
"William is married to Joe , Edward is married to Eve , and Rose is married to Rose . So Joe is the partner of [MASK] .",William
"Eric is married to Jacob , Pamela is married to Nina , and Katherine is married to Katherine . So Jacob is the partner of [MASK] .",Eric
"Hazel is married to Louis , Bella is married to Ada , and Susan is married to Susan . So Louis is the partner of [MASK] .",Hazel
"Patricia is married to Susan , Kim is married to Casey , and Rory is married to Rory . So Susan is the partner of [MASK] .",Patricia
"Helen is married to Anthony , Bruce is married to Sonny , and Heather is married to Heather . So Anthony is the partner of [MASK] .",Helen
"Robin is married to Julie , Stephen is married to Dale , and Lara is married to Lara . So Julie is the partner of [MASK] .",Robin
"Michelle is married to Paige , Gareth is married to Robert , and Daniel is married to Daniel . So Paige is the partner of [MASK] .",Michelle
"Russell is married to Dawn , Oscar is married to Kevin , and Theodore is married to Theodore . So Dawn is the partner of [MASK] .",Russell
"Clare is married to Jordan , Kate is married to Lynn , and Brian is married to Brian . So Jordan is the partner of [MASK] .",Clare
"Nicola is married to Samuel , Grayson is married to Louis , and Diane is married to Diane . So Samuel is the partner of [MASK] .",Nicola
"Debbie is married to Carol , Christine is married to Robin , and Clara is married to Clara . So Carol is the partner of [MASK] .",Debbie
"Sean is married to Alexandra , Edward is married to Debbie , and Lucas is married to Lucas . So Alexandra is the partner of [MASK] .",Sean
"Joshua is married to Debbie , Kathryn is married to Francis , and Laura is married to Laura . So Debbie is the partner of [MASK] .",Joshua
"Derek is married to Marie , Jacob is married to Grant , and Claire is married to Claire . So Marie is the partner of [MASK] .",Derek
"Peter is married to Tyler , Mary is married to Jonathan , and Eden is married to Eden . So Tyler is the partner of [MASK] .",Peter
"Teddy is married to Madison , Archie is married to Eva , and Danielle is married to Danielle . So Madison is the partner of [MASK] .",Teddy
"Debbie is married to Sarah , Charlie is married to Marc , and Katrina is married to Katrina . So Sarah is the partner of [MASK] .",Debbie
"Cameron is married to Louis , Marcus is married to Maya , and Ellen is married to Ellen . So Louis is the partner of [MASK] .",Cameron
"Arthur is married to Heidi , Clare is married to Suzanne , and Alice is married to Alice . So Heidi is the partner of [MASK] .",Arthur
"Roy is married to Harrison , Zoe is married to Shirley , and Edward is married to Edward . So Harrison is the partner of [MASK] .",Roy
"Jennifer is married to Daryl , Julia is married to Hunter , and Lindsay is married to Lindsay . So Daryl is the partner of [MASK] .",Jennifer
"Adam is married to Quinn , Louis is married to Corey , and Cody is married to Cody . So Quinn is the partner of [MASK] .",Adam
"Calvin is married to Harper , Lucy is married to Timothy , and Victoria is married to Victoria . So Harper is the partner of [MASK] .",Calvin
"Kate is married to Mason , Megan is married to Marc , and Carly is married to Carly . So Mason is the partner of [MASK] .",Kate
"Linda is married to Nicola , Alexandra is married to George , and Jessica is married to Jessica . So Nicola is the partner of [MASK] .",Linda
"Stacy is married to Henry , Louis is married to Rachel , and Fiona is married to Fiona . So Henry is the partner of [MASK] .",Stacy
"Joseph is married to Danielle , Charlie is married to Hope , and Kim is married to Kim . So Danielle is the partner of [MASK] .",Joseph
"Margaret is married to Christopher , Archie is married to Corey , and Stuart is married to Stuart . So Christopher is the partner of [MASK] .",Margaret
"Joe is married to Michael , Mia is married to Dean , and Jon is married to Jon . So Michael is the partner of [MASK] .",Joe
"Frankie is married to Paul , Jason is married to Harris , and Gary is married to Gary . So Paul is the partner of [MASK] .",Frankie
"Brandon is married to Summer , Jon is married to Ruby , and Timothy is married to Timothy . So Summer is the partner of [MASK] .",Brandon
"Kyle is married to Nova , Sophie is married to Joey , and Suzanne is married to Suzanne . So Nova is the partner of [MASK] .",Kyle
"Luna is married to Brian , Nova is married to Amber , and Stephanie is married to Stephanie . So Brian is the partner of [MASK] .",Luna
"Georgia is married to Ruby , Heather is married to Grant , and Donna is married to Donna . So Ruby is the partner of [MASK] .",Georgia
"Amy is married to Caleb , Megan is married to Frances , and Madison is married to Madison . So Caleb is the partner of [MASK] .",Amy
"Gerald is married to Jordan , Morgan is married to Alice , and Carol is married to Carol . So Jordan is the partner of [MASK] .",Gerald
"Stephen is married to Ivy , Theo is married to Carson , and Jake is married to Jake . So Ivy is the partner of [MASK] .",Stephen
"Harper is married to Harris , Rachel is married to Ryan , and Jade is married to Jade . So Harris is the partner of [MASK] .",Harper
"Raymond is married to Kimberly , Natalie is married to Katie , and Alexandra is married to Alexandra . So Kimberly is the partner of [MASK] .",Raymond
"Sam is married to Morgan , Tommy is married to Shelley , and Paul is married to Paul . So Morgan is the partner of [MASK] .",Sam
"Connor is married to Natasha , Katherine is married to Elaine , and Oscar is married to Oscar . So Natasha is the partner of [MASK] .",Connor
"Christine is married to Russell , Eric is married to Muhammad , and Helen is married to Helen . So Russell is the partner of [MASK] .",Christine
"Violet is married to Owen , Audrey is married to Jack , and Hugh is married to Hugh . So Owen is the partner of [MASK] .",Violet
"Georgia is married to Zoe , Lily is married to Karen , and Liam is married to Liam . So Zoe is the partner of [MASK] .",Georgia
"Ian is married to Sophia , Arthur is married to Piper , and Lindsey is married to Lindsey . So Sophia is the partner of [MASK] .",Ian
"Daryl is married to Donna , Charlotte is married to Madison , and Carrie is married to Carrie . So Donna is the partner of [MASK] .",Daryl
"Daisy is married to Blake , Lewis is married to Zac , and Diane is married to Diane . So Blake is the partner of [MASK] .",Daisy
"Max is married to Stephanie , Denise is married to Georgia , and Indie is married to Indie . So Stephanie is the partner of [MASK] .",Max
"Lindsay is married to Abby , Alan is married to Eve , and Bella is married to Bella . So Abby is the partner of [MASK] .",Lindsay
"Daniel is married to Bryan , Katherine is married to Keith , and Eleanor is married to Eleanor . So Bryan is the partner of [MASK] .",Daniel
"Barbara is married to Tyler , Daniel is married to Michelle , and Barry is married to Barry . So Tyler is the partner of [MASK] .",Barbara
"Blair is married to Alexander , Alicia is married to Eva , and Paul is married to Paul . So Alexander is the partner of [MASK] .",Blair
"Mitchell is married to Josh , Derek is married to Morgan , and Gabriel is married to Gabriel . So Josh is the partner of [MASK] .",Mitchell
"Morgan is married to Alison , Nicole is married to Shirley , and Carson is married to Carson . So Alison is the partner of [MASK] .",Morgan
"Marion is married to Kai , Connor is married to Elise , and Beth is married to Beth . So Kai is the partner of [MASK] .",Marion
"Amber is married to Elliot , Jay is married to Harrison , and Alexandra is married to Alexandra . So Elliot is the partner of [MASK] .",Amber
"Alexandra is married to Catherine , Joseph is married to Eric , and Ronald is married to Ronald . So Catherine is the partner of [MASK] .",Alexandra
"Graham is married to Daniel , Samantha is married to Pamela , and Andrea is married to Andrea . So Daniel is the partner of [MASK] .",Graham
"Chelsea is married to Daisy , Zac is married to Harley , and Tyler is married to Tyler . So Daisy is the partner of [MASK] .",Chelsea
"Mia is married to Jill , Blake is married to Valerie , and James is married to James . So Jill is the partner of [MASK] .",Mia
"Jack is married to Nicola , Leo is married to Lisa , and Louis is married to Louis . So Nicola is the partner of [MASK] .",Jack
"Jacob is married to Gary , Anne is married to Chloe , and Grayson is married to Grayson . So Gary is the partner of [MASK] .",Jacob
"Daniel is married to Keith , Clara is married to Carol , and Molly is married to Molly . So Keith is the partner of [MASK] .",Daniel
"Anthony is married to Tommy , Janet is married to Naomi , and Helen is married to Helen . So Tommy is the partner of [MASK] .",Anthony
"Keith is married to Philip , John is married to Angela , and Sharon is married to Sharon . So Philip is the partner of [MASK] .",Keith
"Oliver is married to Aaron , Caroline is married to Natalie , and Scarlett is married to Scarlett . So Aaron is the partner of [MASK] .",Oliver
"Nicholas is married to Anne , Russell is married to Janet , and Alicia is married to Alicia . So Anne is the partner of [MASK] .",Nicholas
"Calvin is married to Max , Kara is married to Sonny , and Tyler is married to Tyler . So Max is the partner of [MASK] .",Calvin
"Kimberly is married to Fiona , Valerie is married to Melanie , and Carly is married to Carly . So Fiona is the partner of [MASK] .",Kimberly
"Frances is married to Grayson , Barry is married to Bailey , and Grant is married to Grant . So Grayson is the partner of [MASK] .",Frances
"Kai is married to Samuel , Ronald is married to Harper , and Paula is married to Paula . So Samuel is the partner of [MASK] .",Kai
"Clara is married to Hazel , Indie is married to Margaret , and Alex is married to Alex . So Hazel is the partner of [MASK] .",Clara
"Julia is married to Caroline , Barry is married to Gordon , and Bryan is married to Bryan . So Caroline is the partner of [MASK] .",Julia
"Noah is married to Greg , Jenna is married to Katie , and Nicole is married to Nicole . So Greg is the partner of [MASK] .",Noah
"Hugh is married to Hayden , Douglas is married to Maria , and Rachel is married to Rachel . So Hayden is the partner of [MASK] .",Hugh
"Molly is married to Bryan , Blake is married to Anne , and Nicholas is married to Nicholas . So Bryan is the partner of [MASK] .",Molly
"Stuart is married to Catherine , Kathleen is married to Frank , and Jack is married to Jack . So Catherine is the partner of [MASK] .",Stuart
"Frankie is married to Naomi , Frank is married to Hayden , and Morgan is married to Morgan . So Naomi is the partner of [MASK] .",Frankie
"Freddie is married to Mason , Amber is married to Caleb , and Carson is married to Carson . So Mason is the partner of [MASK] .",Freddie
"Freddie is married to Taylor , Holly is married to Elijah , and Oscar is married to Oscar . So Taylor is the partner of [MASK] .",Freddie
"Scarlett is married to Rosa , Nicole is married to Norman , and Cole is married to Cole . So Rosa is the partner of [MASK] .",Scarlett
"Brooke is married to Andrew , Jamie is married to Autumn , and Stewart is married to Stewart . So Andrew is the partner of [MASK] .",Brooke
"Harley is married to Hanna , Janet is married to Elizabeth , and Blake is married to Blake . So Hanna is the partner of [MASK] .",Harley
