sentence,answer
"Susan is the daughter of Steven , Margaret is the daughter of Ethan , and Neil is the son of Amelia , So Steven is the parent of [MASK] .",Susan
"Gerald is the son of Shannon , Murray is the son of Sandra , and Douglas is the son of Katherine , So Shannon is the parent of [MASK] .",Gerald
"Stacy is the daughter of Rachel , Lara is the daughter of Christine , and Kara is the daughter of Ellis , So Rachel is the parent of [MASK] .",Stacy
"Lena is the daughter of Ross , Judith is the daughter of Morgan , and Olivia is the daughter of Finn , So Ross is the parent of [MASK] .",Lena
"Shirley is the daughter of Dale , Josh is the son of Frances , and Jenna is the daughter of Timothy , So Dale is the parent of [MASK] .",Shirley
"Samantha is the daughter of Chloe , Gabriel is the son of Angus , and Jon is the son of Max , So Chloe is the parent of [MASK] .",Samantha
"Martin is the son of Daisy , Quinn is the daughter of Kerry , and Stephen is the son of Lisa , So Daisy is the parent of [MASK] .",Martin
"Emily is the daughter of Courtney , Abby is the daughter of Summer , and Philip is the son of Gavin , So Courtney is the parent of [MASK] .",Emily
"Harry is the son of Ellen , Bradley is the son of Oliver , and Ann is the daughter of Blake , So Ellen is the parent of [MASK] .",Harry
"Jill is the daughter of Alexis , Alexandra is the daughter of Daisy , and Leo is the son of George , So Alexis is the parent of [MASK] .",Jill
"William is the son of Joe , Edward is the son of Eve , and Rose is the daughter of Michelle , So Joe is the parent of [MASK] .",William
"Eric is the son of Jacob , Pamela is the daughter of Nina , and Katherine is the daughter of Lena , So Jacob is the parent of [MASK] .",Eric
"Hazel is the daughter of Louis , Bella is the daughter of Ada , and Susan is the daughter of Robert , So Louis is the parent of [MASK] .",Hazel
"Patricia is the daughter of Susan , Kim is the daughter of Casey , and Rory is the son of Stephen , So Susan is the parent of [MASK] .",Patricia
"Helen is the daughter of Anthony , Bruce is the son of Sonny , and Heather is the daughter of Patricia , So Anthony is the parent of [MASK] .",Helen
"Robin is the son of Julie , Stephen is the son of Dale , and Lara is the daughter of Nicole , So Julie is the parent of [MASK] .",Robin
"Michelle is the daughter of Paige , Gareth is the son of Robert , and Daniel is the son of Finn , So Paige is the parent of [MASK] .",Michelle
"Russell is the son of Dawn , Oscar is the son of Kevin , and Theodore is the son of Martin , So Dawn is the parent of [MASK] .",Russell
"Clare is the daughter of Jordan , Kate is the daughter of Lynn , and Brian is the son of William , So Jordan is the parent of [MASK] .",Clare
"Nicola is the daughter of Samuel , Grayson is the son of Louis , and Diane is the daughter of Eleanor , So Samuel is the parent of [MASK] .",Nicola
"Debbie is the daughter of Carol , Christine is the daughter of Robin , and Clara is the daughter of Ian , So Carol is the parent of [MASK] .",Debbie
"Sean is the son of Alexandra , Edward is the son of Debbie , and Lucas is the son of Brian , So Alexandra is the parent of [MASK] .",Sean
"Joshua is the son of Debbie , Kathryn is the daughter of Francis , and Laura is the daughter of Melanie , So Debbie is the parent of [MASK] .",Joshua
"Derek is the son of Marie , Jacob is the son of Grant , and Claire is the daughter of Jade , So Marie is the parent of [MASK] .",Derek
"Peter is the son of Tyler , Mary is the daughter of Jonathan , and Eden is the daughter of Ben , So Tyler is the parent of [MASK] .",Peter
"Teddy is the son of Madison , Archie is the son of Eva , and Danielle is the daughter of Sharon , So Madison is the parent of [MASK] .",Teddy
"Debbie is the daughter of Sarah , Charlie is the son of Marc , and Katrina is the daughter of Wesley , So Sarah is the parent of [MASK] .",Debbie
"Cameron is the son of Louis , Marcus is the son of Maya , and Ellen is the daughter of Lindsay , So Louis is the parent of [MASK] .",Cameron
"Arthur is the son of Heidi , Clare is the daughter of Suzanne , and Alice is the daughter of Ian , So Heidi is the parent of [MASK] .",Arthur
"Roy is the son of Harrison , Zoe is the daughter of Shirley , and Edward is the son of Clara , So Harrison is the parent of [MASK] .",Roy
"Jennifer is the daughter of Daryl , Julia is the daughter of Hunter , and Lindsay is the daughter of Carter , So Daryl is the parent of [MASK] .",Jennifer
"Adam is the son of Quinn , Louis is the son of Corey , and Cody is the son of Alicia , So Quinn is the parent of [MASK] .",Adam
"Calvin is the son of Harper , Lucy is the daughter of Timothy , and Victoria is the daughter of Josh , So Harper is the parent of [MASK] .",Calvin
"Kate is the daughter of Mason , Megan is the daughter of Marc , and Carly is the daughter of Alexandra , So Mason is the parent of [MASK] .",Kate
"Linda is the daughter of Nicola , Alexandra is the daughter of George , and Jessica is the daughter of Donna , So Nicola is the parent of [MASK] .",Linda
"Stacy is the daughter of Henry , Louis is the son of Rachel , and Fiona is the daughter of Melanie , So Henry is the parent of [MASK] .",Stacy
"Joseph is the son of Danielle , Charlie is the son of Hope , and Kim is the daughter of Wayne , So Danielle is the parent of [MASK] .",Joseph
