sentence,answer
"his name is David , her name is Nicola and my name is Lauren . So his name is [MASK] .",David
"his name is John , her name is Karen and my name is Reece . So his name is [MASK] .",John
"his name is Paul , her name is Fiona and my name is Valerie . So his name is [MASK] .",Paul
"his name is Mark , her name is Susan and my name is Shelley . So his name is [MASK] .",Mark
"his name is James , her name is Claire and my name is Jayden . So his name is [MASK] .",James
"his name is Andrew , her name is Sharon and my name is Rosa . So his name is [MASK] .",Andrew
"his name is Scott , her name is Angela and my name is Hallie . So his name is [MASK] .",Scott
"his name is Steven , her name is Gillian and my name is Lee . So his name is [MASK] .",Steven
"his name is Robert , her name is Julie and my name is Zak . So his name is [MASK] .",Robert
"his name is Stephen , her name is Michelle and my name is Raymond . So his name is [MASK] .",Stephen
"his name is William , her name is Jacqueline and my name is Daniel . So his name is [MASK] .",William
"his name is Craig , her name is Amanda and my name is Arabella . So his name is [MASK] .",Craig
"his name is Michael , her name is Tracy and my name is Elijah . So his name is [MASK] .",Michael
"his name is Stuart , her name is Louise and my name is Lexi . So his name is [MASK] .",Stuart
"his name is Christopher , her name is Jennifer and my name is Lennon . So his name is [MASK] .",Christopher
"his name is Alan , her name is Alison and my name is Hamish . So his name is [MASK] .",Alan
"his name is Colin , her name is Sarah and my name is Kirsten . So his name is [MASK] .",Colin
"his name is Brian , her name is Donna and my name is Emily . So his name is [MASK] .",Brian
"his name is Kevin , her name is Caroline and my name is Luca . So his name is [MASK] .",Kevin
"his name is Gary , her name is Elaine and my name is Lee . So his name is [MASK] .",Gary
"his name is Richard , her name is Lynn and my name is Theo . So his name is [MASK] .",Richard
"his name is Derek , her name is Margaret and my name is Dean . So his name is [MASK] .",Derek
"his name is Martin , her name is Elizabeth and my name is Roman . So his name is [MASK] .",Martin
"his name is Thomas , her name is Lesley and my name is Robert . So his name is [MASK] .",Thomas
"his name is Neil , her name is Deborah and my name is Kai . So his name is [MASK] .",Neil
"his name is Barry , her name is Pauline and my name is Charlie . So his name is [MASK] .",Barry
"his name is Ian , her name is Lorraine and my name is Fiona . So his name is [MASK] .",Ian
"his name is Jason , her name is Laura and my name is Myles . So his name is [MASK] .",Jason
"his name is Gordon , her name is Tracey and my name is Cora . So his name is [MASK] .",Gordon
"his name is Alexander , her name is Carol and my name is Francis . So his name is [MASK] .",Alexander
"his name is Peter , her name is Lorna and my name is Erin . So his name is [MASK] .",Peter
"his name is Darren , her name is Catherine and my name is Charlotte . So his name is [MASK] .",Darren
"his name is Graham , her name is Wendy and my name is Harvey . So his name is [MASK] .",Graham
"his name is George , her name is Lynne and my name is Bella . So his name is [MASK] .",George
"his name is Kenneth , her name is Yvonne and my name is Neve . So his name is [MASK] .",Kenneth
"his name is Allan , her name is Pamela and my name is Jude . So his name is [MASK] .",Allan
"his name is Simon , her name is Kirsty and my name is Robbie . So his name is [MASK] .",Simon
"his name is Douglas , her name is Jane and my name is Keiran . So his name is [MASK] .",Douglas
"his name is Keith , her name is Emma and my name is Carol . So his name is [MASK] .",Keith
"his name is Lee , her name is Joanne and my name is Victoria . So his name is [MASK] .",Lee
"his name is Anthony , her name is Heather and my name is James . So his name is [MASK] .",Anthony
"his name is Grant , her name is Suzanne and my name is Aoife . So his name is [MASK] .",Grant
"his name is Ross , her name is Anne and my name is Luca . So his name is [MASK] .",Ross
"his name is Jonathan , her name is Diane and my name is Jon . So his name is [MASK] .",Jonathan
"his name is Gavin , her name is Helen and my name is Joanna . So his name is [MASK] .",Gavin
"his name is Nicholas , her name is Victoria and my name is Grace . So his name is [MASK] .",Nicholas
"his name is Joseph , her name is Dawn and my name is Eric . So his name is [MASK] .",Joseph
"his name is Stewart , her name is Mary and my name is Elle . So his name is [MASK] .",Stewart
"his name is Daniel , her name is Samantha and my name is Evie . So his name is [MASK] .",Daniel
"his name is Edward , her name is Marie and my name is Caitlin . So his name is [MASK] .",Edward
"his name is Matthew , her name is Kerry and my name is Penelope . So his name is [MASK] .",Matthew
"his name is Donald , her name is Ann and my name is Clare . So his name is [MASK] .",Donald
"his name is Fraser , her name is Hazel and my name is Roderick . So his name is [MASK] .",Fraser
"his name is Garry , her name is Christine and my name is Gayle . So his name is [MASK] .",Garry
"his name is Malcolm , her name is Gail and my name is Abbi . So his name is [MASK] .",Malcolm
"his name is Charles , her name is Andrea and my name is Josh . So his name is [MASK] .",Charles
"his name is Duncan , her name is Clare and my name is Lexi . So his name is [MASK] .",Duncan
"his name is Raymond , her name is Shona and my name is Clara . So his name is [MASK] .",Raymond
"his name is Philip , her name is Kathleen and my name is Arthur . So his name is [MASK] .",Philip
"his name is Ronald , her name is Paula and my name is Oliver . So his name is [MASK] .",Ronald
"his name is Ryan , her name is Denise and my name is Skye . So his name is [MASK] .",Ryan
"his name is Francis , her name is Melanie and my name is Katherine . So his name is [MASK] .",Francis
"his name is Bruce , her name is Patricia and my name is Theo . So his name is [MASK] .",Bruce
"his name is Patrick , her name is Audrey and my name is Eric . So his name is [MASK] .",Patrick
"his name is Bryan , her name is Jill and my name is Nicholas . So his name is [MASK] .",Bryan
"his name is Marc , her name is Lee and my name is Joanne . So his name is [MASK] .",Marc
"his name is Jamie , her name is Leigh and my name is Rosa . So his name is [MASK] .",Jamie
"his name is Hugh , her name is Catriona and my name is Ava . So his name is [MASK] .",Hugh
"his name is Gerard , her name is Morag and my name is Heidi . So his name is [MASK] .",Gerard
"his name is Sean , her name is Kirsten and my name is Emily . So his name is [MASK] .",Sean
"his name is Wayne , her name is Kirsteen and my name is Jemma . So his name is [MASK] .",Wayne
"his name is Adam , her name is Katrina and my name is Lennon . So his name is [MASK] .",Adam
"his name is Robin , her name is Cheryl and my name is Lexie . So his name is [MASK] .",Robin
"his name is Angus , her name is Maureen and my name is Patrick . So his name is [MASK] .",Angus
"his name is Russell , her name is Janet and my name is Sophia . So his name is [MASK] .",Russell
"his name is Cameron , her name is Aileen and my name is Alba . So his name is [MASK] .",Cameron
"his name is Norman , her name is Zoe and my name is Arlo . So his name is [MASK] .",Norman
"his name is Murray , her name is Lindsay and my name is Violet . So his name is [MASK] .",Murray
"his name is Gareth , her name is Stephanie and my name is Tommy . So his name is [MASK] .",Gareth
"his name is Dean , her name is Judith and my name is Arabella . So his name is [MASK] .",Dean
